09:34:14 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
09:34:16 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?kk=%D0%92%D1%8B%D1%85%D0%BE%D0%B4|
09:34:41 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
09:36:24 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
09:40:43 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
09:41:16 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
09:41:19 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
09:41:29 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
09:41:30 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
09:41:54 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/|
09:44:30 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
09:44:34 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php?j=gl|
09:44:55 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
09:46:43 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
09:47:30 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
09:54:15 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
09:59:53 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:04:44 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
10:04:46 10.04.2021|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36|127.0.0.1|localhost/lab4/index.php|
